Departamento,year,Valor
Valle del Cauca,2020.0,24592650.78127601
Valle del Cauca,2021.0,25443406.15379838
Vaupés,2018.0,25770381.25
Vaupés,2019.0,59042746.042553194
Vaupés,2020.0,60451001.328125
Vaupés,2021.0,46503556.4
Vichada,2017.0,14316452.461538462
Vichada,2018.0,55008080.556521736
Vichada,2019.0,23484355.863568217
Vichada,2020.0,66204590.44413408
Vichada,2021.0,57183454.26349206
